Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2015,CO,11.7,Female,-104.33724745,39.87350155,137.8
2016,CO,13.6,Female,-104.33724745,39.87350155,150.4445714285715
2017,CO,14.8,Female,-104.33724745,39.87350155,168.93142857142857
2018,CO,16.1,Female,-104.33724745,39.87350155,169.07428571428574
2019,CO,17.1,Female,-104.33724745,39.87350155,181.90114285714287
2000,CT,14.1,Female,-73.38906168,41.26981021,176.5
2001,CT,14.2,Female,-73.38906168,41.26981021,175.471875
2002,CT,14.2,Female,-73.38906168,41.26981021,182.32187499999998
2003,CT,13.2,Female,-73.38906168,41.26981021,172.025
2004,CT,12.4,Female,-73.38906168,41.26981021,165.534375
2005,CT,11.7,Female,-73.38906168,41.26981021,163.35625000000005
2006,CT,11.8,Female,-73.38906168,41.26981021,156.128125
2007,CT,10.8,Female,-73.38906168,41.26981021,152.46249999999998
2008,CT,10.9,Female,-73.38906168,41.26981021,138.2
2009,CT,10.5,Female,-73.38906168,41.26981021,140.88125
2010,CT,10.7,Female,-73.38906168,41.26981021,133.84375
2011,CT,9.2,Female,-73.38906168,41.26981021,136.41250000000002
2012,CT,8.9,Female,-73.38906168,41.26981021,130.45312499999997
2013,CT,9.8,Female,-73.38906168,41.26981021,134.62812499999998
2014,CT,10.6,Female,-73.38906168,41.26981021,128.534375
2015,CT,10.3,Female,-73.38906168,41.26981021,141.665625
2016,CT,10.8,Female,-73.38906168,41.26981021,147.890625
2017,CT,11.0,Female,-73.38906168,41.26981021,151.065625
2018,CT,12.5,Female,-73.38906168,41.26981021,163.1
2019,CT,13.1,Female,-73.38906168,41.26981021,160.36562500000005
2000,DC,107.0,Female,-77.01629654,38.90478149,561.175
2001,DC,98.1,Female,-77.01629654,38.90478149,606.5250000000001
2002,DC,94.3,Female,-77.01629654,38.90478149,592.975
2003,DC,97.1,Female,-77.01629654,38.90478149,571.05
2004,DC,93.2,Female,-77.01629654,38.90478149,546.2249999999999
2005,DC,81.9,Female,-77.01629654,38.90478149,538.55
2006,DC,88.5,Female,-77.01629654,38.90478149,517.975
